FY,Net Revenue(Americas),Net Revenue(Europe),Net Revenue(Asia Pacific),Net Cash Flow(Operating),Net Cash Flow(Investing),Net Cash Flow(Financing),Net Cash Flow(Total),Total Debt,Interest Expense,Advertising And Promotion Expense,Operating Income(Americas),Operating Income(Europe),Operating Income(Asia Pacific),Total Expense(Americas),Total Expense(Europe),Total Expense(Asia Pacific),Total Expense(Corporate),Total Cost of Goods Sold,Total Administrative Expense
2006,2483247,1100342,702364,261880,-69597,-155228,37055,2217412,250637,289300,378921,224376,90868,34723,20134,8923,7243,2216562,1362726
2007,2581271,1099674,681154,302271,-107277,-325534,-130540,1960406,215715,277000,403252,236904,95262,33238,19315,7833,7128,2318883,1401005
2008,2476370,1195596,728948,224809,-26815,-135460,-62534,1853207,154086,297900,346855,257941,99526,41580,18250,11227,6926,2261112,1614730
2009,2357662,1042131,705973,388783,-233029,-97155,58599,1852900,148718,266100,346329,154839,90967,44492,21599,11238,7274,2132361,1595317
2010,2549086,1105264,756299,146274,-181781,32313,-67820,1863146,135823,327800,402530,163475,86274,51050,25485,11798,16563,2187726,1841562
