FY,Net.Cash.Flow.Operating.,Net.Cash.Flow.Investing.,Net.Cash.Flow.Financing.,Net.Cash.Flow.Total.,Total.Debt,Interest.Expense,Advertising.And.Promotion.Expense,Total.Cost.of.Goods.Sold,Total.Administrative.Expense,Online,B.M.Store
2006,261880,-69597,-155228,37055,2217412,250637,289300,2216562,1362726,1241288.253,3044664.747
2007,302271,-107277,-325534,-130540,1960406,215715,277000,2318883,1401005,1281850.5278,3080248.4722
2008,224809,-26815,-135460,-62534,1853207,154086,297900,2261112,1614730,1332784.8559,3068129.1441
2009,388783,-233029,-97155,58599,1852900,148718,266100,2132361,1595317,1279523.2664,2826242.7336
2010,146274,-181781,32313,-67820,1863146,135823,327800,2187726,1841562,1371417.0502,3039231.9498
